"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10nF","","","","LibraryNico:CP_Radial_D5.0mm_P2.50mm Nico","~"
"Cc1,Cd1","2","1000uF","","","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~"
"D1,D2","2","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"J1","1","Bornera +12V GND -12V","","","","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"J2","1","Bornera Sensor LM35","","","","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"J3","1","Bornera 24V GND","","","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"J4","1","Bornera Planta","","","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"PR1","1","100k","","","","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"Q1","1","IRF530","","","","LibraryNico:TO-220-3_Vertical Nico","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"R1,R11,R12,R21,R22,RDD1,RI1,RP1,RS1","9","10k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"RA1,Rh2","2","100k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"RB1","1","22k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rc1","1","220","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rd1","1","820","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rd2,RGG1","2","47","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rf1","1","180k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rf2","1","12k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rg1","1","560","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rg2","1","100","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rh1","1","560k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"Rh3","1","3.3k","","","","LibraryNico:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal Nico","~"
"TP1,TP2","2","TestPoint","","","","LibraryNico:PinHeader_1x01_P2.54mm_Vertical Nico","~"
"U1,U2,U3,U4,U5","5","OP07","","","","LibraryNico:DIP-8_W7.62mm_LongPads Nico","https://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf"
"U6","1","LM555xN","","","","LibraryNico:DIP-8_W7.62mm_LongPads Nico","http://www.ti.com/lit/ds/symlink/lm555.pdf"
